,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
48,48,0.9356522239393443,2020-06-19 18:15:09.116347,2020-06-19 18:42:23.045743,0.15720267884266714,16,91,COMPLETE
49,49,0.9303873479844196,2020-06-19 18:42:23.049522,2020-06-19 19:09:46.537184,0.1435415114794713,16,92,COMPLETE
50,50,0.9369957133189523,2020-06-19 19:09:46.541258,2020-06-19 19:31:28.084097,0.15680520532246867,14,84,COMPLETE
51,51,0.9337812559982247,2020-06-19 19:31:28.088130,2020-06-19 19:54:21.565424,0.1585512632048044,14,89,COMPLETE
52,52,0.9328312915743566,2020-06-19 19:54:21.569738,2020-06-19 20:17:45.150794,0.13409923672031976,15,84,COMPLETE
53,53,0.9319896557003023,2020-06-19 20:17:45.170752,2020-06-19 20:34:54.770545,0.15530120124128138,12,78,COMPLETE
54,54,0.932501448986598,2020-06-19 20:34:54.774792,2020-06-19 20:59:17.470709,0.14720889030808257,14,95,COMPLETE
55,55,0.9328524738495286,2020-06-19 20:59:17.477143,2020-06-19 21:16:29.881789,0.1703835789384572,13,72,COMPLETE
56,56,0.9350203927403156,2020-06-19 21:16:29.886392,2020-06-19 21:42:59.715009,0.1628825451926762,16,89,COMPLETE
57,57,0.9338643661194741,2020-06-19 21:42:59.719442,2020-06-19 22:02:21.274350,0.17671927665000103,11,97,COMPLETE
58,58,0.9338337787032817,2020-06-19 22:02:21.278821,2020-06-19 22:25:15.334865,0.12038417221347272,15,82,COMPLETE
59,59,0.9317985860059483,2020-06-19 22:25:15.340144,2020-06-19 22:41:44.718471,0.16798636433381145,12,75,COMPLETE
60,60,0.9347091571209003,2020-06-19 22:41:44.723084,2020-06-19 23:16:34.049513,0.18636027007518563,20,91,COMPLETE
61,61,0.9335850130998027,2020-06-19 23:16:34.054177,2020-06-19 23:48:10.924120,0.19488622553875434,17,100,COMPLETE
62,62,0.9351000841794008,2020-06-19 23:48:10.928858,2020-06-20 00:13:40.061983,0.18037343770086167,16,86,COMPLETE
63,63,0.9341112943695433,2020-06-20 00:13:40.066817,2020-06-20 00:44:25.182898,0.18598724744392384,17,97,COMPLETE
64,64,0.933707701620734,2020-06-20 00:44:25.187782,2020-06-20 01:15:33.210151,0.1758006433387105,18,92,COMPLETE
65,65,0.9303187333767522,2020-06-20 01:15:33.232692,2020-06-20 01:30:44.721702,0.1998489424147593,16,50,COMPLETE
66,66,0.9327585128009692,2020-06-20 01:30:44.726745,2020-06-20 01:52:57.801087,0.16114476501950525,15,80,COMPLETE
67,67,0.9344386369518427,2020-06-20 01:52:57.807048,2020-06-20 02:19:19.688861,0.18956172149254438,17,83,COMPLETE
68,68,0.9330639728053622,2020-06-20 02:19:19.694242,2020-06-20 02:40:01.742390,0.14933991277158767,13,87,COMPLETE
69,69,0.9329205011065159,2020-06-20 02:40:01.747608,2020-06-20 03:03:02.367579,0.19567176373199924,18,67,COMPLETE
70,70,0.9359407486657915,2020-06-20 03:03:02.372866,2020-06-20 03:32:35.927824,0.182594446885404,16,100,COMPLETE
71,71,0.9353121027146821,2020-06-20 03:32:35.933406,2020-06-20 04:02:08.156779,0.18060341467321134,16,100,COMPLETE
72,72,0.9342013623373123,2020-06-20 04:02:08.162212,2020-06-20 04:32:10.639087,0.18444921064068495,17,95,COMPLETE
73,73,0.9342605943943703,2020-06-20 04:32:10.644581,2020-06-20 04:59:10.009557,0.17118465377600156,15,98,COMPLETE
74,74,0.9334127762779001,2020-06-20 04:59:10.015204,2020-06-20 05:26:53.301179,0.13758888556700352,16,93,COMPLETE
75,75,0.935532690545785,2020-06-20 05:26:53.306769,2020-06-20 05:49:54.190030,0.1998050434664211,14,90,COMPLETE
76,76,0.9360097924912637,2020-06-20 05:49:54.195617,2020-06-20 06:12:38.173645,0.19731688178639223,14,89,COMPLETE
77,77,0.933515909033235,2020-06-20 06:12:38.191687,2020-06-20 06:34:47.395003,0.15464164526277174,14,86,COMPLETE
78,78,0.9344270104204293,2020-06-20 06:34:47.403140,2020-06-20 06:56:08.403213,0.1890469816669342,15,77,COMPLETE
79,79,0.9240123867740376,2020-06-20 06:56:08.409262,2020-06-20 07:04:04.818473,0.19541145271015264,13,32,COMPLETE
80,80,0.933327580308722,2020-06-20 07:04:04.824426,2020-06-20 07:28:06.527753,0.17814398517948785,14,94,COMPLETE
81,81,0.9356705824131695,2020-06-20 07:28:06.533881,2020-06-20 07:51:04.670941,0.19931081302582962,14,90,COMPLETE
82,82,0.9359332863000981,2020-06-20 07:51:04.677084,2020-06-20 08:13:35.268278,0.18332549940862966,14,88,COMPLETE
83,83,0.933175780278436,2020-06-20 08:13:35.274557,2020-06-20 08:35:53.801341,0.1831846786132247,14,87,COMPLETE
84,84,0.9339851118650786,2020-06-20 08:35:53.807565,2020-06-20 08:56:41.852687,0.19641218056728552,14,81,COMPLETE
85,85,0.9345126130170012,2020-06-20 08:56:41.859118,2020-06-20 09:16:36.455444,0.18818516184715417,13,84,COMPLETE
86,86,0.9349437434765484,2020-06-20 09:16:36.462260,2020-06-20 09:39:35.640930,0.17425223065074807,13,97,COMPLETE
87,87,0.9365999519125456,2020-06-20 09:39:35.647403,2020-06-20 10:02:08.159507,0.19219679723496436,14,88,COMPLETE
88,88,0.9332425575326934,2020-06-20 10:02:08.166004,2020-06-20 10:22:58.097500,0.19225529460392599,15,75,COMPLETE
89,89,0.9323386775468109,2020-06-20 10:22:58.104150,2020-06-20 10:41:45.574490,0.18205699585300147,13,79,COMPLETE
90,90,0.9339900516349019,2020-06-20 10:41:45.594306,2020-06-20 11:00:19.848789,0.18643845860165978,12,85,COMPLETE
91,91,0.9337154124809459,2020-06-20 11:00:19.855803,2020-06-20 11:23:09.808055,0.1994258603572573,14,89,COMPLETE
92,92,0.935389301678445,2020-06-20 11:23:09.818567,2020-06-20 11:54:51.988404,0.19197533180887003,19,88,COMPLETE
93,93,0.9338016927898412,2020-06-20 11:54:51.995311,2020-06-20 12:15:53.783875,0.19690596335735733,14,82,COMPLETE
94,94,0.9338519188031359,2020-06-20 12:15:53.791799,2020-06-20 12:39:58.931670,0.1782997284563897,14,94,COMPLETE
95,95,0.9326849960741631,2020-06-20 12:39:58.938837,2020-06-20 13:06:29.869905,0.18999214327857186,15,96,COMPLETE
96,96,0.9338378148566739,2020-06-20 13:06:29.876873,2020-06-20 13:29:48.076152,0.16702436856361863,14,91,COMPLETE
97,97,0.9358824352854385,2020-06-20 13:29:48.083796,2020-06-20 13:53:11.558794,0.17334825918186533,13,99,COMPLETE
98,98,0.9346460922241471,2020-06-20 13:53:11.565911,2020-06-20 14:14:44.298690,0.17111311395440545,12,99,COMPLETE
99,99,0.9329999214606719,2020-06-20 14:14:44.306869,2020-06-20 14:36:47.020907,0.17443405827225547,13,93,COMPLETE
100,100,0.934787779280542,2020-06-20 14:36:47.028346,2020-06-20 14:59:54.106590,0.1830690910691855,13,98,COMPLETE
101,101,0.9358539713678592,2020-06-20 14:59:54.114035,2020-06-20 15:22:26.067188,0.1942195149896254,14,88,COMPLETE
102,102,0.9342314075836461,2020-06-20 15:22:26.074677,2020-06-20 15:41:00.089852,0.1865152633324151,12,85,COMPLETE
103,103,0.9334548471529042,2020-06-20 15:41:00.097897,2020-06-20 16:01:50.010041,0.1937932725600064,13,88,COMPLETE
104,104,0.934966687803761,2020-06-20 16:01:50.017662,2020-06-20 16:24:36.458271,0.1780310641707426,15,82,COMPLETE
105,105,0.9348097974009129,2020-06-20 16:24:36.467463,2020-06-20 16:48:28.132693,0.16473186699928127,14,93,COMPLETE
106,106,0.9321401454867635,2020-06-20 16:48:28.140723,2020-06-20 17:13:57.008517,0.190436173328711,14,100,COMPLETE
107,107,0.9343106095638312,2020-06-20 17:13:57.016345,2020-06-20 17:31:20.329986,0.18466786806651175,11,87,COMPLETE
108,108,0.9309668372016777,2020-06-20 17:31:20.338451,2020-06-20 18:01:50.041507,0.16904099057721744,19,84,COMPLETE
109,109,0.934855234247123,2020-06-20 18:01:50.049355,2020-06-20 18:38:34.013849,0.18074156076545592,20,96,COMPLETE
110,110,0.9351458598817723,2020-06-20 18:38:34.022832,2020-06-20 18:57:33.753042,0.17229308125647408,13,80,COMPLETE
111,111,0.9362240474772122,2020-06-20 18:57:33.762085,2020-06-20 19:20:33.864520,0.19772262078548872,14,90,COMPLETE
