,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
48,48,0.9434628331521925,2020-06-19 16:29:16.489937,2020-06-19 16:53:42.514022,0.1724231654193818,15,96,COMPLETE
49,49,0.9412155051909092,2020-06-19 16:53:42.517835,2020-06-19 17:16:10.052949,0.14581611731514563,15,88,COMPLETE
50,50,0.9428776722171965,2020-06-19 17:16:10.057004,2020-06-19 17:44:07.832969,0.17265208169682394,17,96,COMPLETE
51,51,0.9430721828506394,2020-06-19 17:44:07.837184,2020-06-19 18:09:22.931255,0.19385757591329267,15,100,COMPLETE
52,52,0.9435970500323926,2020-06-19 18:09:22.935302,2020-06-19 18:34:31.950128,0.15459058123264607,15,99,COMPLETE
53,53,0.9402465086412176,2020-06-19 18:34:31.954261,2020-06-19 19:01:46.220720,0.15306154584910156,16,100,COMPLETE
54,54,0.9406973228924542,2020-06-19 19:01:46.225203,2020-06-19 19:29:07.065389,0.1303946537776633,16,100,COMPLETE
55,55,0.9429414447058255,2020-06-19 19:29:07.069919,2020-06-19 19:52:36.971606,0.19362662072406558,15,93,COMPLETE
56,56,0.9381363700616399,2020-06-19 19:52:36.976096,2020-06-19 20:12:09.181311,0.08030600813583166,12,97,COMPLETE
57,57,0.9431428479082609,2020-06-19 20:12:09.198883,2020-06-19 20:32:14.501186,0.16082770322390746,14,85,COMPLETE
58,58,0.941629065820659,2020-06-19 20:32:14.505693,2020-06-19 20:52:19.748389,0.15553378091499684,14,85,COMPLETE
59,59,0.9407469727538433,2020-06-19 20:52:19.754574,2020-06-19 21:12:22.410676,0.16081843520441136,13,92,COMPLETE
60,60,0.9409944692001467,2020-06-19 21:12:22.415370,2020-06-19 21:31:04.417559,0.17084815458792502,14,79,COMPLETE
61,61,0.9414730743934052,2020-06-19 21:31:04.422465,2020-06-19 21:56:22.627907,0.17956294068879058,15,100,COMPLETE
62,62,0.9435505543974914,2020-06-19 21:56:22.632665,2020-06-19 22:20:19.528873,0.14678477149250793,15,94,COMPLETE
63,63,0.9417408591360094,2020-06-19 22:20:19.533723,2020-06-19 22:45:44.673075,0.1465330936666715,16,93,COMPLETE
64,64,0.9424924347240617,2020-06-19 22:45:44.677979,2020-06-19 23:07:02.178925,0.13617874933561241,14,90,COMPLETE
65,65,0.9416532222630238,2020-06-19 23:07:02.183860,2020-06-19 23:31:39.031359,0.14751832945236182,15,97,COMPLETE
66,66,0.9413963475095695,2020-06-19 23:31:39.036375,2020-06-19 23:50:37.978251,0.143421385936723,13,87,COMPLETE
67,67,0.9420858705061521,2020-06-19 23:50:37.983328,2020-06-20 00:13:10.462576,0.15480463006000386,16,82,COMPLETE
68,68,0.9428176705219622,2020-06-20 00:13:10.467652,2020-06-20 00:37:10.756666,0.16426911663515426,15,94,COMPLETE
69,69,0.9410952746442117,2020-06-20 00:37:10.761812,2020-06-20 00:58:42.929628,0.13241029629842543,14,91,COMPLETE
70,70,0.9397528981565169,2020-06-20 00:58:42.934962,2020-06-20 01:17:16.924772,0.16782342056471042,13,85,COMPLETE
71,71,0.9432371956252567,2020-06-20 01:17:16.942210,2020-06-20 01:41:50.745313,0.1827734228441718,15,97,COMPLETE
72,72,0.9428733822095655,2020-06-20 01:41:50.752520,2020-06-20 02:06:22.635696,0.1813356339009215,15,97,COMPLETE
73,73,0.9434566999340207,2020-06-20 02:06:22.641232,2020-06-20 02:29:21.549423,0.17361138371828583,14,98,COMPLETE
74,74,0.9416472383189453,2020-06-20 02:29:21.554904,2020-06-20 02:54:11.362881,0.15842690870847367,15,98,COMPLETE
75,75,0.9406581611586473,2020-06-20 02:54:11.368493,2020-06-20 03:19:47.272112,0.174993966854871,16,94,COMPLETE
76,76,0.9418616348576556,2020-06-20 03:19:47.277917,2020-06-20 03:41:02.792452,0.16308816863674322,14,90,COMPLETE
77,77,0.9389456368415731,2020-06-20 03:41:02.798156,2020-06-20 03:55:36.145790,0.1697397544519805,15,56,COMPLETE
78,78,0.9442050758643392,2020-06-20 03:55:36.151548,2020-06-20 04:17:46.624899,0.1825205001169095,14,94,COMPLETE
79,79,0.9419960464431943,2020-06-20 04:17:46.631003,2020-06-20 04:43:22.438430,0.18440684756887288,16,94,COMPLETE
80,80,0.9410261217980544,2020-06-20 04:43:22.444295,2020-06-20 05:02:58.504171,0.1743473219569336,12,98,COMPLETE
81,81,0.9420191384963739,2020-06-20 05:02:58.510082,2020-06-20 05:24:36.006211,0.1818180631420572,14,92,COMPLETE
82,82,0.9406818113671314,2020-06-20 05:24:36.012275,2020-06-20 05:46:57.444025,0.1664280684371497,15,88,COMPLETE
83,83,0.9412153494266382,2020-06-20 05:46:57.450053,2020-06-20 06:09:19.014641,0.17760165027299765,14,95,COMPLETE
84,84,0.9338212973632094,2020-06-20 06:09:19.030071,2020-06-20 06:18:22.398864,0.16068320332267824,13,40,COMPLETE
85,85,0.9429014262685282,2020-06-20 06:18:22.405695,2020-06-20 06:41:58.238449,0.15571407480520338,14,100,COMPLETE
86,86,0.9406431558672054,2020-06-20 06:41:58.246783,2020-06-20 07:04:47.607154,0.1712770294816233,15,90,COMPLETE
87,87,0.9406234451967427,2020-06-20 07:04:47.614049,2020-06-20 07:33:24.556805,0.14846572451409082,17,98,COMPLETE
88,88,0.942793754216182,2020-06-20 07:33:24.563548,2020-06-20 07:57:30.746013,0.15363349412398447,15,95,COMPLETE
89,89,0.9390089939588127,2020-06-20 07:57:30.752686,2020-06-20 08:14:50.961136,0.16727633418679727,14,73,COMPLETE
90,90,0.942396665658093,2020-06-20 08:14:50.968293,2020-06-20 08:35:20.671450,0.17541778691879056,14,87,COMPLETE
91,91,0.9419702285152718,2020-06-20 08:35:20.678109,2020-06-20 08:57:50.731109,0.19167578674322097,14,96,COMPLETE
92,92,0.9405442715158161,2020-06-20 08:57:50.738308,2020-06-20 09:17:45.768390,0.18231370818412318,13,92,COMPLETE
93,93,0.9421706062695898,2020-06-20 09:17:45.775250,2020-06-20 09:42:58.284896,0.18968374892893408,15,100,COMPLETE
94,94,0.9420460792250832,2020-06-20 09:42:58.292725,2020-06-20 10:06:02.326355,0.15056609780376148,14,98,COMPLETE
95,95,0.9428842857085373,2020-06-20 10:06:02.333365,2020-06-20 10:30:03.025287,0.18629718183633892,15,95,COMPLETE
96,96,0.9402097482732558,2020-06-20 10:30:03.032410,2020-06-20 10:50:01.347104,0.19643652023404595,13,92,COMPLETE
97,97,0.9416152936630292,2020-06-20 10:50:01.362732,2020-06-20 11:09:52.352504,0.1610892144008031,14,84,COMPLETE
98,98,0.9417438770687605,2020-06-20 11:09:52.359677,2020-06-20 11:34:04.356175,0.19991140175475644,16,89,COMPLETE
99,99,0.9390282957480638,2020-06-20 11:34:04.365579,2020-06-20 11:45:51.543189,0.17855925379209422,15,45,COMPLETE
100,100,0.9423950820546709,2020-06-20 11:45:51.551385,2020-06-20 12:08:24.989390,0.17024007017670933,14,96,COMPLETE
101,101,0.9426908784053477,2020-06-20 12:08:24.998590,2020-06-20 12:33:38.668739,0.19325192795371776,15,100,COMPLETE
102,102,0.9414300380233567,2020-06-20 12:33:38.677912,2020-06-20 12:58:40.587069,0.11381981492719985,15,98,COMPLETE
103,103,0.9429903157458597,2020-06-20 12:58:40.594745,2020-06-20 13:22:04.113940,0.18966073865045374,14,100,COMPLETE
104,104,0.943596660621715,2020-06-20 13:22:04.121591,2020-06-20 13:45:50.355364,0.17256624399558523,15,94,COMPLETE
105,105,0.9419953974253984,2020-06-20 13:45:50.363002,2020-06-20 14:09:15.826283,0.17329361605271135,16,86,COMPLETE
